Header1,Header2
n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 0, 3, 5, 4, 5, 0, 7,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 0, 3, 5, 5, 5, 0, 0,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 0, 3, 5, 5, 5, 0, 1,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 0, 3, 5, 5, 5, 0, 2,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 0, 3, 5, 5, 5, 0, 3,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 0, 3, 5, 5, 5, 0, 4,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 0, 3, 5, 5, 5, 0, 5,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 0, 3, 5, 5, 5, 0, 6,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 0, 3, 5, 5, 5, 0, 7,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 0, 3, 5, 6, 5, 0, 0,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 0, 3, 5, 6, 5, 0, 1,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 0, 3, 5, 6, 5, 0, 2,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 0, 3, 5, 6, 5, 0, 3,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 0, 3, 5, 6, 5, 0, 4,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 0, 3, 5, 6, 5, 0, 5,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 0, 3, 5, 6, 5, 0, 6,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 0, 3, 5, 6, 5, 0, 7,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 0, 3, 5, 7, 5, 0, 0,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 0, 3, 5, 7, 5, 0, 1,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 0, 3, 5, 7, 5, 0, 2,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 0, 3, 5, 7, 5, 0, 3,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 0, 3, 5, 7, 5, 0, 4,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 0, 3, 5, 7, 5, 0, 5,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 0, 3, 5, 7, 5, 0, 6,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 0, 3, 5, 7, 5, 0, 7,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 2, 0, 0, 0, 5, 0, 0,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 2, 0, 0, 0, 5, 0, 1,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 2, 0, 0, 0, 5, 0, 2,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 2, 0, 0, 0, 5, 0, 3,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 2, 0, 0, 0, 5, 0, 4,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 2, 0, 0, 0, 5, 0, 5,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 2, 0, 0, 0, 5, 0, 6,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 2, 0, 0, 0, 5, 0, 7,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 2, 0, 0, 1, 5, 0, 0,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 2, 0, 0, 1, 5, 0, 1,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 2, 0, 0, 1, 5, 0, 2,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 2, 0, 0, 1, 5, 0, 3,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 2, 0, 0, 1, 5, 0, 4,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
 0, 2, 0, 0, 1, 5, 0, 5,0,0.0030587126648308205, 0.0030587126648308205, 1.001532873695249, 1.001532873695249  
                        ******************************************

n_estimators, criterion, max_depth, min_samples_split, min_samples_leaf, min_weight_fraction_leaf, max_features, max_leaf_nodes, random_num, max_r2, r2, rpd, max_rpd 
